ID,STATE_NAME,COUNTY,City,Latitude,Longitude
1686,California,Los Angeles,Acton,34.483541,-118.195929
1689,California,Los Angeles,Agoura Hills,34.157163,-118.75718
1690,California,Riverside,Aguanga,33.447306,-116.799693
1697,California,Los Angeles,Alhambra,34.091436,-118.129288
1698,California,Orange,Aliso Viejo,33.572367,-117.708906
1700,California,Tulare,Alpaugh,35.887778,-119.486389
1701,California,San Diego,Alpine,32.828161,-116.754328
1703,California,Los Angeles,Altadena,34.191187,-118.13919
1710,California,Orange,Anaheim,33.842679,-117.954035
1718,California,Riverside,Anza,33.568812,-116.71355
1723,California,Los Angeles,Arcadia,34.132389,-118.026374
1728,California,San Luis Obispo,Arroyo Grande,35.11449,-120.57289
1729,California,Los Angeles,Artesia,33.866568,-118.068046
1731,California,Kern,Arvin,35.196629,-118.8336
1732,California,San Luis Obispo,Atascadero,35.475439,-120.663838
1735,California,Orange,Atwood,33.865556,-117.83
1738,California,Los Angeles,Avalon,33.331963,-118.343706
1741,California,San Luis Obispo,Avila Beach,35.18,-120.730833
1742,California,Los Angeles,Azusa,34.12476,-117.903083
1743,California,Tulare,Badger,36.631389,-119.012222
1745,California,Kern,Bakersfield,35.386611,-119.017063
1746,California,Los Angeles,Baldwin Park,34.084245,-117.969539
1749,California,Riverside,Banning,33.92816,-116.889928
1750,California,Imperial,Bard,32.789167,-114.555278
1755,California,Riverside,Beaumont,33.950429,-116.970079
1758,California,Los Angeles,Bell,33.969177,-118.17205
1759,California,Los Angeles,Bell Gardens,33.9775,-118.186111
1761,California,Los Angeles,Bellflower,33.886676,-118.126527
1770,California,Los Angeles,Beverly Hills,34.0732,-118.3927
1789,California,Riverside,Blythe,33.605715,-114.597131
1792,California,Kern,Bodfish,35.587046,-118.484656
1794,California,San Diego,Bonita,32.667143,-117.022065
1795,California,San Diego,Bonsall,33.294033,-117.18969
1797,California,Kern,Boron,35.003748,-117.662921
1798,California,San Diego,Borrego Springs,33.238649,-116.351394
1800,California,San Diego,Boulevard,32.671934,-116.319982
1803,California,Ventura,Brandeis,34.3216,-118.7027
1805,California,Imperial,Brawley,32.979181,-115.529613
1806,California,Orange,Brea,33.9252,-117.8895
1817,California,Orange,Buena Park,33.840607,-118.011359
1818,California,Los Angeles,Burbank,34.186238,-118.300898
1825,California,Kern,Buttonwillow,35.403268,-119.465926
1827,California,Riverside,Cabazon,33.908583,-116.773948
1828,California,Los Angeles,Calabasas,34.141854,-118.664103
1829,California,Imperial,Calexico,32.683227,-115.502815
1830,California,Kern,Caliente,35.356798,-118.410264
1831,California,Kern,California City,35.125833,-117.985
1832,California,Tulare,California Hot Springs,35.892422,-118.646317
1833,California,Riverside,Calimesa,33.994586,-117.04304
1834,California,Imperial,Calipatria,33.166956,-115.511402
1839,California,Ventura,Camarillo,34.231328,-119.046361
1840,California,San Luis Obispo,Cambria,35.556568,-121.084029
1843,California,Tulare,Camp Nelson,36.130278,-118.817222
1844,California,San Diego,Camp Pendleton,33.327929,-117.409452
1846,California,San Diego,Campo,32.660491,-116.490459
1850,California,Los Angeles,Canoga Park,34.199257,-118.59828
1851,California,Kern,Cantil,35.282558,-117.993868
1854,California,Los Angeles,Canyon Country,34.426203,-118.449011
1857,California,Orange,Capistrano Beach,33.459115,-117.662657
1859,California,San Diego,Cardiff By The Sea,33.025265,-117.274371
1861,California,San Diego,Carlsbad,33.160241,-117.324998
1868,California,Los Angeles,Carson,33.822968,-118.268352
1873,California,Los Angeles,Castaic,34.488889,-118.621944
1877,California,Riverside,Cathedral City,33.809839,-116.466497
1879,California,San Luis Obispo,Cayucos,35.444606,-120.890791
1886,California,Los Angeles,Cerritos,33.858333,-118.063889
1888,California,Los Angeles,Chatsworth,34.258253,-118.591357
1898,California,San Diego,Chula Vista,32.64,-117.0833
1901,California,Los Angeles,City Of Industry,34.0197,-117.9577
1902,California,Los Angeles,Claremont,34.109167,-117.718293
1913,California,Riverside,Coachella,33.674965,-116.177231
1924,California,Los Angeles,Compton,33.890654,-118.239044
1930,California,Riverside,Corona,33.8815,-117.6078
1931,California,Orange,Corona Del Mar,33.602066,-117.874331
1932,California,San Diego,Coronado,32.68069,-117.169823
1934,California,Orange,Costa Mesa,33.677711,-117.909623
1940,California,Los Angeles,Covina,34.097162,-117.906544
1947,California,San Luis Obispo,Creston,35.491543,-120.554238
1950,California,Los Angeles,Culver City,33.994927,-118.399115
1952,California,Tulare,Cutler,36.524266,-119.287023
1954,California,Orange,Cypress,33.818613,-118.038696
1957,California,Orange,Dana Point,33.476964,-117.700483
1966,California,San Diego,Del Mar,32.971474,-117.237314
1968,California,Kern,Delano,35.771511,-119.24594
1971,California,San Diego,Descanso,32.872971,-116.602732
1972,California,Riverside,Desert Center,33.604941,-115.052603
1973,California,Riverside,Desert Hot Springs,33.904973,-116.366222
1975,California,Los Angeles,Diamond Bar,34.006585,-117.809822
1978,California,Tulare,Dinuba,36.534931,-119.39087
1987,California,Los Angeles,Downey,33.94,-118.131667
1991,California,Los Angeles,Duarte,34.139444,-117.976389
1993,California,Tulare,Ducor,35.891667,-119.046389
1994,California,San Diego,Dulzura,32.615172,-116.728523
2002,California,Tulare,Earlimart,35.854195,-119.253406
2004,California,Orange,East Irvine,33.675833,-117.758889
2006,California,Kern,Edison,35.3475,-118.870833
2007,California,Kern,Edwards,34.930507,-117.915384
2008,California,San Diego,El Cajon,32.777726,-116.919055
2009,California,Imperial,El Centro,32.789332,-115.566508
2014,California,Los Angeles,El Monte,34.079142,-118.037108
